column,label,untwirled_pct,untwirled_q,untwirled_significant,twirled_pct,twirled_q,twirled_significant
0,H(0),0.0000,1.000000e+00,0,0.0000,1.000000e+00,0
1,Phase(1),33.5840,2.333333e-03,1,33.5840,2.333333e-03,1
2,Phase(2),33.3955,2.333333e-03,1,33.3955,2.333333e-03,1
3,H(1),0.0000,1.000000e+00,0,0.0000,1.000000e+00,0
4,Phase(2),33.0205,2.333333e-03,1,33.0205,2.333333e-03,1
5,H(2),0.0000,1.000000e+00,0,0.0000,1.000000e+00,0
6,"SWAP(0,2)",0.0000,1.000000e+00,0,0.0000,1.000000e+00,0
