pair,seed,n_significant,dominant_column,dominant_attribution_pct
attr_ghz4_depolarizing,977047,3,2,34.2105
attr_ghz4_depolarizing,977048,3,1,30.7692
attr_ghz4_depolarizing,977049,3,1,44.1176
attr_qft4_bit_flip,977000,0,3,33.3333
attr_qft4_bit_flip,977001,1,2,27.7778
attr_qft4_bit_flip,977002,0,3,21.4286
attr_qft4_bit_flip,977003,0,2,19.3548
attr_qft4_bit_flip,977004,1,1,34.375
attr_qft4_bit_flip,977005,1,2,26.3158
attr_qft4_bit_flip,977006,0,1,26.6667
attr_qft4_bit_flip,977007,0,2,23.3333
attr_qft4_bit_flip,977008,0,2,24.2424
attr_qft4_bit_flip,977009,0,3,33.3333
attr_qft4_bit_flip,977010,2,3,27.7778
attr_qft4_bit_flip,977011,0,3,21.4286
attr_qft4_bit_flip,977012,0,1,34.6154
attr_qft4_bit_flip,977013,0,2,26.6667
attr_qft4_bit_flip,977014,0,1,27.5862
attr_qft4_bit_flip,977015,0,8,24.2424
attr_qft4_bit_flip,977016,0,1,24.2424
attr_qft4_bit_flip,977017,0,6,26.3158
attr_qft4_bit_flip,977018,0,2,21.875
attr_qft4_bit_flip,977019,0,5,25.8065
attr_qft4_bit_flip,977020,0,5,33.3333
attr_qft4_bit_flip,977021,0,2,33.3333
attr_qft4_bit_flip,977022,1,1,33.3333
attr_qft4_bit_flip,977023,1,2,26.8293
attr_qft4_bit_flip,977024,0,1,24.1379
attr_qft4_bit_flip,977025,0,1,22.7273
attr_qft4_bit_flip,977026,0,2,23.0769
attr_qft4_bit_flip,977027,0,6,25.0
attr_qft4_bit_flip,977028,0,1,27.2727
attr_qft4_bit_flip,977029,1,1,29.4118
attr_qft4_bit_flip,977030,0,3,31.0345
attr_qft4_bit_flip,977031,2,8,24.3902
attr_qft4_bit_flip,977032,1,3,34.2857
attr_qft4_bit_flip,977033,0,1,25.0
attr_qft4_bit_flip,977034,1,2,46.4286
attr_qft4_bit_flip,977035,0,8,26.6667
attr_qft4_bit_flip,977036,0,1,23.3333
attr_qft4_bit_flip,977037,0,2,25.0
attr_qft4_bit_flip,977038,0,1,33.3333
attr_qft4_bit_flip,977039,0,1,22.2222
attr_qft4_bit_flip,977040,0,3,25.7143
attr_qft4_bit_flip,977041,1,1,35.0
attr_qft4_bit_flip,977042,0,5,25.9259
attr_qft4_bit_flip,977043,0,2,26.9231
attr_qft4_bit_flip,977044,1,1,30.7692
attr_qft4_bit_flip,977045,0,1,26.6667
attr_qft4_bit_flip,977046,0,3,25.0
attr_qft4_bit_flip,977047,0,3,25.0
attr_qft4_bit_flip,977048,2,6,21.0526
attr_qft4_bit_flip,977049,0,1,32.2581
attr_bell_amp_damping,977000,2,1,99.6184
attr_bell_amp_damping,977001,2,1,87.9964
attr_bell_amp_damping,977002,0,1,67.4564
attr_bell_amp_damping,977003,1,1,83.4696
attr_bell_amp_damping,977004,1,1,90.8339
attr_bell_amp_damping,977005,2,1,62.2006
attr_bell_amp_damping,977006,2,1,75.2638
attr_bell_amp_damping,977007,0,1,80.2759
attr_bell_amp_damping,977008,1,1,82.4617
attr_bell_amp_damping,977009,0,1,67.4564
attr_bell_amp_damping,977010,0,1,63.5527
attr_bell_amp_damping,977011,0,1,73.1907
attr_bell_amp_damping,977012,0,1,85.8478
attr_bell_amp_damping,977013,2,1,72.9418
attr_bell_amp_damping,977014,0,1,90.8339
attr_bell_amp_damping,977015,0,1,80.1729
attr_bell_amp_damping,977016,1,1,93.2219
attr_bell_amp_damping,977017,2,1,59.1343
attr_bell_amp_damping,977018,2,1,71.8159
attr_bell_amp_damping,977019,0,1,88.8739
attr_bell_amp_damping,977020,2,1,62.2006
attr_bell_amp_damping,977021,1,1,84.706
attr_bell_amp_damping,977022,2,1,80.1262
attr_bell_amp_damping,977023,2,1,83.391
attr_bell_amp_damping,977024,1,1,85.7475
attr_bell_amp_damping,977025,2,1,71.8101
attr_bell_amp_damping,977026,1,1,87.5133
attr_bell_amp_damping,977027,0,1,75.5527
attr_bell_amp_damping,977028,0,1,78.1634
attr_bell_amp_damping,977029,2,1,57.8529
attr_bell_amp_damping,977030,0,1,84.706
attr_bell_amp_damping,977031,1,1,80.1767
attr_bell_amp_damping,977032,0,1,88.8739
attr_bell_amp_damping,977033,2,1,67.1264
attr_bell_amp_damping,977034,1,1,84.2744
attr_bell_amp_damping,977035,0,1,83.4696
attr_bell_amp_damping,977036,0,1,83.4696
attr_bell_amp_damping,977037,0,1,75.5527
attr_bell_amp_damping,977038,1,1,85.7732
attr_bell_amp_damping,977039,0,1,68.9666
attr_bell_amp_damping,977040,1,1,80.1767
attr_bell_amp_damping,977041,2,1,84.8706
attr_bell_amp_damping,977042,1,0,53.9747
attr_bell_amp_damping,977043,0,1,88.8739
attr_bell_amp_damping,977044,1,1,91.2558
attr_bell_amp_damping,977045,2,1,70.9164
attr_bell_amp_damping,977046,1,1,87.5133
attr_bell_amp_damping,977047,0,1,80.2759
attr_bell_amp_damping,977048,0,1,73.1907
attr_bell_amp_damping,977049,1,1,88.8741
