code,noise_type,physical_rate,n_trials,bin,count,fraction
"Steane [[7,1,3]]",depolarizing,0.1500,200,f_only,0,0.0000
"Steane [[7,1,3]]",depolarizing,0.1500,200,z_only,44,0.2200
"Steane [[7,1,3]]",depolarizing,0.2000,200,both_pass,49,0.2450
"Steane [[7,1,3]]",depolarizing,0.2000,200,both_fail,89,0.4450
"Steane [[7,1,3]]",depolarizing,0.2000,200,f_only,0,0.0000
"Steane [[7,1,3]]",depolarizing,0.2000,200,z_only,62,0.3100
"Steane [[7,1,3]]",depolarizing,0.2500,200,both_pass,49,0.2450
"Steane [[7,1,3]]",depolarizing,0.2500,200,both_fail,78,0.3900
"Steane [[7,1,3]]",depolarizing,0.2500,200,f_only,0,0.0000
"Steane [[7,1,3]]",depolarizing,0.2500,200,z_only,73,0.3650
"Steane [[7,1,3]]",depolarizing,0.3000,200,both_pass,23,0.1150
"Steane [[7,1,3]]",depolarizing,0.3000,200,both_fail,90,0.4500
"Steane [[7,1,3]]",depolarizing,0.3000,200,f_only,0,0.0000
"Steane [[7,1,3]]",depolarizing,0.3000,200,z_only,87,0.4350
"Shor [[9,1,3]]",depolarizing,0.0100,200,both_pass,200,1.0000
"Shor [[9,1,3]]",depolarizing,0.0100,200,both_fail,0,0.0000
"Shor [[9,1,3]]",depolarizing,0.0100,200,f_only,0,0.0000
"Shor [[9,1,3]]",depolarizing,0.0100,200,z_only,0,0.0000
"Shor [[9,1,3]]",depolarizing,0.0500,200,both_pass,196,0.9800
"Shor [[9,1,3]]",depolarizing,0.0500,200,both_fail,4,0.0200
"Shor [[9,1,3]]",depolarizing,0.0500,200,f_only,0,0.0000
"Shor [[9,1,3]]",depolarizing,0.0500,200,z_only,0,0.0000
"Shor [[9,1,3]]",depolarizing,0.1000,200,both_pass,176,0.8800
"Shor [[9,1,3]]",depolarizing,0.1000,200,both_fail,24,0.1200
"Shor [[9,1,3]]",depolarizing,0.1000,200,f_only,0,0.0000
"Shor [[9,1,3]]",depolarizing,0.1000,200,z_only,0,0.0000
"Shor [[9,1,3]]",depolarizing,0.1500,200,both_pass,163,0.8150
"Shor [[9,1,3]]",depolarizing,0.1500,200,both_fail,37,0.1850
"Shor [[9,1,3]]",depolarizing,0.1500,200,f_only,0,0.0000
"Shor [[9,1,3]]",depolarizing,0.1500,200,z_only,0,0.0000
"Shor [[9,1,3]]",depolarizing,0.2000,200,both_pass,155,0.7750
"Shor [[9,1,3]]",depolarizing,0.2000,200,both_fail,45,0.2250
"Shor [[9,1,3]]",depolarizing,0.2000,200,f_only,0,0.0000
"Shor [[9,1,3]]",depolarizing,0.2000,200,z_only,0,0.0000
"Shor [[9,1,3]]",depolarizing,0.2500,200,both_pass,139,0.6950
"Shor [[9,1,3]]",depolarizing,0.2500,200,both_fail,61,0.3050
"Shor [[9,1,3]]",depolarizing,0.2500,200,f_only,0,0.0000
"Shor [[9,1,3]]",depolarizing,0.2500,200,z_only,0,0.0000
"Shor [[9,1,3]]",depolarizing,0.3000,200,both_pass,125,0.6250
"Shor [[9,1,3]]",depolarizing,0.3000,200,both_fail,75,0.3750
"Shor [[9,1,3]]",depolarizing,0.3000,200,f_only,0,0.0000
"Shor [[9,1,3]]",depolarizing,0.3000,200,z_only,0,0.0000
