column,label,untwirled_pct,untwirled_q,untwirled_significant,twirled_pct,twirled_q,twirled_significant
0,H(0),33.2306,1.000000e-03,1,20.1629,1.000000e-03,1
1,"CNOT(0,1)",0.0000,1.000000e-03,1,40.8435,1.000000e-03,1
2,"CNOT(1,2)",66.7694,1.000000e-03,1,38.9936,1.000000e-03,1
