column,label,delta_F_mean,delta_F_ci_lower,delta_F_ci_upper,p_value,q_value,significant,attribution_pct,attribution_pct_ci_lower,attribution_pct_ci_upper,is_recovery,recovery_rate,recovery_rate_ci_lower,recovery_rate_ci_upper
0,H(0),4.181840e-16,3.996803e-16,4.366877e-16,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
1,"CNOT(0,1)",8.333333e-02,3.333333e-02,1.333333e-01,2.000000e-03,8.000000e-03,1,34.4828,16.1258,52.0043,0,0.0000,0.0000,0.0000
2,"CNOT(1,2)",7.500000e-02,3.333333e-02,1.250000e-01,1.000000e-02,1.333333e-02,1,31.0345,14.8016,50.0000,0,0.0000,0.0000,0.0000
3,"CNOT(2,3)",8.333333e-02,4.145833e-02,1.333333e-01,6.000000e-03,1.200000e-02,1,34.4828,17.3876,54.5528,0,0.0000,0.0000,0.0000
