column,label,delta_F_mean,delta_F_ci_lower,delta_F_ci_upper,p_value,q_value,significant,attribution_pct,attribution_pct_ci_lower,attribution_pct_ci_upper,is_recovery,recovery_rate,recovery_rate_ci_lower,recovery_rate_ci_upper
0,H(0),4.166667e-02,8.333333e-03,8.333333e-02,3.000000e-02,1.050000e-01,0,20.8333,5.2566,38.8949,0,0.0000,0.0000,0.0000
1,Phase(1),1.666667e-02,0.000000e+00,4.166667e-02,2.680000e-01,3.126667e-01,0,8.3333,0.0000,20.0000,0,0.0000,0.0000,0.0000
2,Phase(2),8.333333e-03,0.000000e+00,2.500000e-02,5.160000e-01,5.160000e-01,0,4.1667,0.0000,14.3036,0,0.0000,0.0000,0.0000
3,H(1),6.666667e-02,2.500000e-02,1.166667e-01,1.800000e-02,1.050000e-01,0,33.3333,15.7895,52.6439,0,0.0000,0.0000,0.0000
4,Phase(2),2.500000e-02,0.000000e+00,5.833333e-02,1.960000e-01,2.744000e-01,0,12.5000,0.0000,26.6731,0,0.0000,0.0000,0.0000
5,H(2),1.666667e-02,1.794861e-16,4.166667e-02,8.000000e-02,1.435000e-01,0,8.3333,0.0000,20.8333,0,0.0000,0.0000,0.0000
6,"SWAP(0,2)",2.500000e-02,0.000000e+00,5.833333e-02,8.200000e-02,1.435000e-01,0,12.5000,0.0000,27.2727,0,0.0000,0.0000,0.0000
