column,label,delta_F_mean,delta_F_ci_lower,delta_F_ci_upper,p_value,q_value,significant,attribution_pct,attribution_pct_ci_lower,attribution_pct_ci_upper,is_recovery,recovery_rate,recovery_rate_ci_lower,recovery_rate_ci_upper
0,H(0),1.266028e-02,1.643926e-04,2.932147e-02,7.200000e-02,1.060000e-01,0,16.9763,0.3041,40.5402,0,0.0000,0.0000,0.0000
1,"CNOT(0,1)",1.792117e-02,1.268174e-03,4.289519e-02,1.060000e-01,1.060000e-01,0,24.0307,1.7152,52.8323,0,0.0000,0.0000,0.0000
2,"CNOT(1,2)",4.399460e-02,1.081908e-02,8.544770e-02,2.400000e-02,7.200000e-02,0,58.9929,27.0064,87.5734,0,0.0000,0.0000,0.0000
