column,label,delta_F_mean,delta_F_ci_lower,delta_F_ci_upper,p_value,q_value,significant,attribution_pct,attribution_pct_ci_lower,attribution_pct_ci_upper,is_recovery,recovery_rate,recovery_rate_ci_lower,recovery_rate_ci_upper
0,H(0) + H(1) + H(2) + H(3),1.000000e-01,5.000000e-02,1.583333e-01,1.000000e-03,2.666667e-03,1,15.0292,7.5975,22.9553,0,0.0000,0.0000,0.0000
1,"CNOT(0,1) + CNOT(2,3)",1.083333e-01,5.833333e-02,1.750000e-01,4.000000e-03,6.400000e-03,1,16.2817,8.5607,25.2222,0,0.0000,0.0000,0.0000
2,Rz(1) + Rz(3),2.572222e-02,1.197683e-03,5.809259e-02,6.200000e-02,7.085714e-02,0,3.8659,0.1447,8.7957,0,0.0000,0.0000,0.0000
3,"CNOT(0,1) + CNOT(2,3)",1.073704e-01,5.785185e-02,1.649815e-01,1.000000e-03,2.666667e-03,1,16.1369,8.5394,24.4229,0,0.0000,0.0000,0.0000
4,"CNOT(1,2) + CNOT(3,0)",1.330926e-01,7.474663e-02,1.918937e-01,1.000000e-03,2.666667e-03,1,20.0028,11.5763,29.9595,0,0.0083,0.0000,0.0250
5,Rz(0) + Rz(2),5.761111e-02,1.689332e-02,1.064400e-01,1.800000e-02,2.400000e-02,1,8.6585,3.5327,15.1029,0,0.0083,0.0000,0.0250
6,"CNOT(1,2) + CNOT(3,0)",9.117823e-02,4.072440e-02,1.499586e-01,4.000000e-03,6.400000e-03,1,13.7034,5.2659,21.9919,0,0.0417,0.0083,0.0752
7,Rx(0) + Rx(1) + Rx(2) + Rx(3),4.206216e-02,-1.784191e-03,9.135785e-02,7.200000e-02,7.200000e-02,0,6.3216,0.0000,13.5506,0,0.0667,0.0250,0.1167
