column,label,delta_F_mean,delta_F_ci_lower,delta_F_ci_upper,p_value,q_value,significant,attribution_pct,attribution_pct_ci_lower,attribution_pct_ci_upper,is_recovery,recovery_rate,recovery_rate_ci_lower,recovery_rate_ci_upper
0,H(0) + H(1) + H(2) + H(3),1.750000e-01,1.166667e-01,2.500000e-01,1.000000e-03,2.666667e-03,1,25.2926,15.9867,35.3608,0,0.0000,0.0000,0.0000
1,"CNOT(0,1) + CNOT(2,3)",1.333333e-01,7.500000e-02,2.000000e-01,1.000000e-03,2.666667e-03,1,19.2705,10.7705,28.0865,0,0.0000,0.0000,0.0000
2,Rz(1) + Rz(3),1.083333e-01,5.833333e-02,1.666667e-01,1.000000e-03,2.666667e-03,1,15.6573,7.9705,24.2272,0,0.0000,0.0000,0.0000
3,"CNOT(0,1) + CNOT(2,3)",5.000000e-02,0.000000e+00,1.083333e-01,8.000000e-02,8.000000e-02,0,7.2265,0.0000,14.4064,0,0.0167,0.0000,0.0417
4,"CNOT(1,2) + CNOT(3,0)",7.500000e-02,3.333333e-02,1.168750e-01,8.000000e-03,1.600000e-02,1,10.8397,4.6918,18.4266,0,0.0000,0.0000,0.0000
5,Rz(0) + Rz(2),3.333333e-02,8.333333e-03,6.666667e-02,8.000000e-02,8.000000e-02,0,4.8176,1.1765,9.8475,0,0.0000,0.0000,0.0000
6,"CNOT(1,2) + CNOT(3,0)",5.833333e-02,8.333333e-03,1.166667e-01,4.600000e-02,6.133333e-02,0,8.4309,1.2223,15.7712,0,0.0167,0.0000,0.0417
7,Rx(0) + Rx(1) + Rx(2) + Rx(3),5.856914e-02,1.518331e-02,1.087987e-01,2.000000e-02,3.200000e-02,1,8.4649,2.3094,15.6521,0,0.0333,0.0083,0.0667
