column,label,delta_F_mean,delta_F_ci_lower,delta_F_ci_upper,p_value,q_value,significant,attribution_pct,attribution_pct_ci_lower,attribution_pct_ci_upper,is_recovery,recovery_rate,recovery_rate_ci_lower,recovery_rate_ci_upper
0,H(0) + H(1) + H(2) + H(3),4.440892e-16,4.440892e-16,4.440892e-16,1.000000e-03,1.600000e-03,1,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
1,"CNOT(0,1) + CNOT(2,3)",0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
2,Rz(1) + Rz(3),8.948610e-02,4.092469e-02,1.385151e-01,1.000000e-03,1.600000e-03,1,14.2779,6.8058,23.0196,0,0.0000,0.0000,0.0000
3,"CNOT(0,1) + CNOT(2,3)",1.704120e-01,1.052037e-01,2.434791e-01,1.000000e-03,1.600000e-03,1,27.1899,17.6532,37.7172,0,0.0083,0.0000,0.0250
4,"CNOT(1,2) + CNOT(3,0)",1.227916e-01,6.520247e-02,1.880058e-01,1.000000e-03,1.600000e-03,1,19.5919,11.1868,28.7239,0,0.0083,0.0000,0.0250
5,Rz(0) + Rz(2),7.565903e-02,3.378058e-02,1.253768e-01,1.000000e-03,1.600000e-03,1,12.0717,5.1369,19.8162,0,0.0000,0.0000,0.0000
6,"CNOT(1,2) + CNOT(3,0)",7.584632e-02,1.847057e-02,1.332221e-01,1.400000e-02,1.600000e-02,1,12.1016,3.9911,20.7696,0,0.0167,0.0000,0.0417
7,Rx(0) + Rx(1) + Rx(2) + Rx(3),9.255232e-02,4.306912e-02,1.438854e-01,2.000000e-03,2.666667e-03,1,14.7671,7.1827,22.8918,0,0.0000,0.0000,0.0000
