column,label,delta_F_mean,delta_F_ci_lower,delta_F_ci_upper,p_value,q_value,significant,attribution_pct,attribution_pct_ci_lower,attribution_pct_ci_upper,is_recovery,recovery_rate,recovery_rate_ci_lower,recovery_rate_ci_upper
0,X(3),0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
1,H(0) + H(1) + H(2) + H(3),1.583333e-01,9.166667e-02,2.250000e-01,1.000000e-03,5.000000e-03,1,50.0000,34.2838,67.6471,0,0.0000,0.0000,0.0000
2,"CNOT(0,3)",9.166667e-02,4.166667e-02,1.416667e-01,4.000000e-03,1.000000e-02,1,28.9474,14.9954,43.7538,0,0.0000,0.0000,0.0000
3,"CNOT(2,3)",6.666667e-02,1.666667e-02,1.250000e-01,3.800000e-02,6.333333e-02,0,21.0526,5.2452,37.5000,0,0.0167,0.0000,0.0417
4,H(0) + H(1) + H(2),4.440892e-16,3.848311e-16,5.014507e-16,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
