column,label,delta_F_mean,delta_F_ci_lower,delta_F_ci_upper,p_value,q_value,significant,attribution_pct,attribution_pct_ci_lower,attribution_pct_ci_upper,is_recovery,recovery_rate,recovery_rate_ci_lower,recovery_rate_ci_upper
0,X(3),5.000000e-02,1.666667e-02,9.166667e-02,2.400000e-02,2.400000e-02,1,22.2736,7.3134,36.0799,0,0.0000,0.0000,0.0000
1,H(0) + H(1) + H(2) + H(3),5.682181e-02,2.976085e-02,9.017167e-02,1.000000e-03,2.500000e-03,1,25.3126,13.8078,37.9333,0,0.0500,0.0167,0.0917
2,"CNOT(0,3)",2.347810e-02,6.884688e-03,4.425173e-02,2.200000e-02,2.400000e-02,1,10.4589,3.2115,19.6899,0,0.0500,0.0167,0.0917
3,"CNOT(2,3)",4.213872e-02,1.722255e-02,6.719313e-02,1.000000e-03,2.500000e-03,1,18.7717,9.0597,28.6814,0,0.0333,0.0083,0.0667
4,H(0) + H(1) + H(2),5.204191e-02,1.851268e-02,9.352175e-02,2.400000e-02,2.400000e-02,1,23.1833,9.3840,38.9562,0,0.0250,0.0000,0.0583
