column,label,delta_F_mean,delta_F_ci_lower,delta_F_ci_upper,p_value,q_value,significant,attribution_pct,attribution_pct_ci_lower,attribution_pct_ci_upper,is_recovery,recovery_rate,recovery_rate_ci_lower,recovery_rate_ci_upper
0,H(0),5.000000e-02,1.666667e-02,9.166667e-02,1.400000e-02,2.800000e-02,1,17.6471,5.8782,30.3093,0,0.0000,0.0000,0.0000
1,"CNOT(0,1)",1.250000e-01,7.500000e-02,1.833333e-01,1.000000e-03,4.000000e-03,1,44.1176,26.2829,62.8571,0,0.0000,0.0000,0.0000
2,"CNOT(1,2)",5.833333e-02,2.500000e-02,1.002083e-01,2.800000e-02,3.733333e-02,1,20.5882,7.6923,35.4839,0,0.0000,0.0000,0.0000
3,"CNOT(2,3)",5.000000e-02,8.333333e-03,1.000000e-01,6.400000e-02,6.400000e-02,0,17.6471,3.0303,33.3333,0,0.0083,0.0000,0.0250
