column,label,delta_F_mean,delta_F_ci_lower,delta_F_ci_upper,p_value,q_value,significant,attribution_pct,attribution_pct_ci_lower,attribution_pct_ci_upper,is_recovery,recovery_rate,recovery_rate_ci_lower,recovery_rate_ci_upper
0,H(0),5.000000e-02,1.666667e-02,9.166667e-02,6.000000e-03,6.000000e-03,1,18.7500,5.8824,32.1429,0,0.0000,0.0000,0.0000
1,"CNOT(0,1)",9.166667e-02,4.166667e-02,1.500000e-01,1.000000e-03,1.500000e-03,1,34.3750,18.7442,52.9412,0,0.0000,0.0000,0.0000
2,"CNOT(1,2)",1.250000e-01,6.666667e-02,1.916667e-01,1.000000e-03,1.500000e-03,1,46.8750,27.9897,65.3879,0,0.0000,0.0000,0.0000
