column,label,delta_F_mean,delta_F_ci_lower,delta_F_ci_upper,p_value,q_value,significant,attribution_pct,attribution_pct_ci_lower,attribution_pct_ci_upper,is_recovery,recovery_rate,recovery_rate_ci_lower,recovery_rate_ci_upper
0,X(3),7.500000e-02,3.333333e-02,1.250000e-01,8.000000e-03,2.000000e-02,1,33.3333,16.6667,53.3393,0,0.0000,0.0000,0.0000
1,H(0) + H(1) + H(2) + H(3),6.161738e-16,5.828671e-16,6.439294e-16,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
2,"CNOT(0,3)",0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
3,"CNOT(2,3)",0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
4,H(0) + H(1) + H(2),1.500000e-01,8.333333e-02,2.166667e-01,1.000000e-03,5.000000e-03,1,66.6667,46.6607,83.3333,0,0.0000,0.0000,0.0000
