column,label,delta_F_mean,delta_F_ci_lower,delta_F_ci_upper,p_value,q_value,significant,attribution_pct,attribution_pct_ci_lower,attribution_pct_ci_upper,is_recovery,recovery_rate,recovery_rate_ci_lower,recovery_rate_ci_upper
0,H(0),8.494986e-03,1.643926e-04,2.099088e-02,1.120000e-01,2.660000e-01,0,21.8381,0.4226,53.2990,0,0.0000,0.0000,0.0000
1,Phase(1),0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
2,Phase(2),0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
3,H(1),4.327608e-03,1.616266e-04,1.265752e-02,1.640000e-01,2.870000e-01,0,11.1250,0.3141,36.4286,0,0.0000,0.0000,0.0000
4,Phase(2),-4.329870e-16,-4.440892e-16,-4.181840e-16,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
5,H(2),8.490139e-03,1.609154e-04,2.098262e-02,1.140000e-01,2.660000e-01,0,21.8257,0.4154,53.9413,0,0.0000,0.0000,0.0000
6,"SWAP(0,2)",1.758709e-02,5.091049e-03,3.422439e-02,3.600000e-02,2.520000e-01,0,45.2112,9.8154,79.5126,0,0.0000,0.0000,0.0000
