column,label,delta_F_mean,delta_F_ci_lower,delta_F_ci_upper,p_value,q_value,significant,attribution_pct,attribution_pct_ci_lower,attribution_pct_ci_upper,is_recovery,recovery_rate,recovery_rate_ci_lower,recovery_rate_ci_upper
0,H(0),4.107825e-16,3.885781e-16,4.292862e-16,1.000000e-03,3.000000e-03,1,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
1,"CNOT(0,1)",1.000000e-01,5.000000e-02,1.583333e-01,8.000000e-03,8.000000e-03,1,48.0000,28.5714,66.6667,0,0.0000,0.0000,0.0000
2,"CNOT(1,2)",1.083333e-01,5.000000e-02,1.666667e-01,2.000000e-03,3.000000e-03,1,52.0000,33.3333,71.4286,0,0.0000,0.0000,0.0000
