column,label,delta_F_mean,delta_F_ci_lower,delta_F_ci_upper,p_value,q_value,significant,attribution_pct,attribution_pct_ci_lower,attribution_pct_ci_upper,is_recovery,recovery_rate,recovery_rate_ci_lower,recovery_rate_ci_upper
0,X(3),1.666667e-02,0.000000e+00,4.166667e-02,2.820000e-01,2.820000e-01,0,5.1282,0.0000,12.5000,0,0.0000,0.0000,0.0000
1,H(0) + H(1) + H(2) + H(3),1.583333e-01,8.333333e-02,2.250000e-01,1.000000e-03,5.000000e-03,1,48.7179,32.4304,64.1071,0,0.0000,0.0000,0.0000
2,"CNOT(0,3)",3.333333e-02,8.333333e-03,6.666667e-02,3.600000e-02,4.500000e-02,1,10.2564,2.4390,21.0526,0,0.0000,0.0000,0.0000
3,"CNOT(2,3)",5.833333e-02,2.500000e-02,1.083333e-01,3.600000e-02,4.500000e-02,1,17.9487,6.3797,31.7101,0,0.0000,0.0000,0.0000
4,H(0) + H(1) + H(2),5.833333e-02,1.666667e-02,1.083333e-01,1.800000e-02,4.500000e-02,1,17.9487,6.2453,31.0345,0,0.0000,0.0000,0.0000
