column,label,delta_F_mean,delta_F_ci_lower,delta_F_ci_upper,p_value,q_value,significant,attribution_pct,attribution_pct_ci_lower,attribution_pct_ci_upper,is_recovery,recovery_rate,recovery_rate_ci_lower,recovery_rate_ci_upper
0,H(0),4.181840e-16,3.959795e-16,4.330795e-16,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
1,Phase(1),2.500000e-02,0.000000e+00,5.833333e-02,1.740000e-01,4.060000e-01,0,15.7895,0.0000,34.7880,0,0.0000,0.0000,0.0000
2,Phase(2),5.833333e-02,1.666667e-02,1.083333e-01,1.400000e-02,4.900000e-02,1,36.8421,15.3846,57.9057,0,0.0000,0.0000,0.0000
3,H(1),2.220446e-17,7.401487e-18,4.070818e-17,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
4,Phase(2),7.500000e-02,3.333333e-02,1.250000e-01,4.000000e-03,2.800000e-02,1,47.3684,24.9702,69.2391,0,0.0000,0.0000,0.0000
5,H(2),1.739349e-16,1.572816e-16,1.887379e-16,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
6,"SWAP(0,2)",-1.850372e-17,-2.960595e-17,-7.401487e-18,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
