column,label,delta_F_mean,delta_F_ci_lower,delta_F_ci_upper,p_value,q_value,significant,attribution_pct,attribution_pct_ci_lower,attribution_pct_ci_upper,is_recovery,recovery_rate,recovery_rate_ci_lower,recovery_rate_ci_upper
0,H(0),5.000000e-02,1.666667e-02,9.166667e-02,1.200000e-02,1.600000e-02,1,18.1818,6.0606,32.3549,0,0.0000,0.0000,0.0000
1,"CNOT(0,1)",6.666667e-02,2.500000e-02,1.085417e-01,8.000000e-03,1.600000e-02,1,24.2424,9.7541,44.1258,0,0.0000,0.0000,0.0000
2,"CNOT(1,2)",1.000000e-01,3.333333e-02,1.750000e-01,8.000000e-03,1.600000e-02,1,36.3636,14.7059,57.1429,0,0.0250,0.0000,0.0583
3,"CNOT(2,3)",5.833333e-02,8.333333e-03,1.166667e-01,6.000000e-02,6.000000e-02,0,21.2121,3.7037,38.2353,0,0.0167,0.0000,0.0417
