column,label,delta_F_mean,delta_F_ci_lower,delta_F_ci_upper,p_value,q_value,significant,attribution_pct,attribution_pct_ci_lower,attribution_pct_ci_upper,is_recovery,recovery_rate,recovery_rate_ci_lower,recovery_rate_ci_upper
0,H(0),2.500000e-02,4.440892e-16,5.833333e-02,8.000000e-02,1.400000e-01,0,11.1111,0.0000,25.0000,0,0.0000,0.0000,0.0000
1,Phase(1),-2.590520e-17,-4.440892e-17,-1.110223e-17,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
2,Phase(2),-1.850372e-17,-3.700743e-17,-3.700743e-18,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
3,H(1),3.333333e-02,8.333333e-03,6.666667e-02,4.000000e-02,9.333333e-02,0,14.8148,3.5683,29.1782,0,0.0000,0.0000,0.0000
4,Phase(2),0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.000000e+00,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000
5,H(2),4.166667e-02,8.333333e-03,8.333333e-02,1.600000e-02,5.600000e-02,0,18.5185,4.5455,34.6196,0,0.0000,0.0000,0.0000
6,"SWAP(0,2)",1.250000e-01,7.500000e-02,1.835417e-01,1.000000e-03,7.000000e-03,1,55.5556,37.0278,75.0000,0,0.0000,0.0000,0.0000
