column,label,delta_F_mean,delta_F_ci_lower,delta_F_ci_upper,p_value,q_value,significant,attribution_pct,attribution_pct_ci_lower,attribution_pct_ci_upper,is_recovery,recovery_rate,recovery_rate_ci_lower,recovery_rate_ci_upper
0,H(0) + H(1) + H(2) + H(3),4.853504e-02,2.147362e-02,7.773111e-02,4.000000e-03,1.280000e-02,1,13.9183,6.9190,21.9724,0,0.0000,0.0000,0.0000
1,"CNOT(0,1) + CNOT(2,3)",6.155155e-02,3.453458e-02,9.271530e-02,1.000000e-03,8.000000e-03,1,17.6511,10.0593,25.5963,0,0.0000,0.0000,0.0000
2,Rz(1) + Rz(3),2.787530e-02,1.129958e-02,4.856598e-02,8.000000e-03,1.280000e-02,1,7.9938,3.2783,13.8711,0,0.0000,0.0000,0.0000
3,"CNOT(0,1) + CNOT(2,3)",5.137038e-02,1.862515e-02,9.225446e-02,1.400000e-02,1.866667e-02,1,14.7314,5.4282,25.5843,0,0.0000,0.0000,0.0000
4,"CNOT(1,2) + CNOT(3,0)",5.533512e-02,2.245960e-02,9.645967e-02,8.000000e-03,1.280000e-02,1,15.8684,6.7919,25.2778,0,0.0417,0.0083,0.0750
5,Rz(0) + Rz(2),1.719930e-02,8.672417e-04,4.954583e-02,1.120000e-01,1.120000e-01,0,4.9322,0.2380,12.0227,0,0.0583,0.0167,0.1000
6,"CNOT(1,2) + CNOT(3,0)",3.261725e-02,8.076088e-03,6.553099e-02,6.000000e-02,6.857143e-02,0,9.3536,2.3825,18.2992,0,0.0750,0.0333,0.1250
7,Rx(0) + Rx(1) + Rx(2) + Rx(3),5.422891e-02,2.165760e-02,9.381204e-02,8.000000e-03,1.280000e-02,1,15.5512,6.7288,27.1973,0,0.1667,0.1083,0.2333
