column,label,delta_F_mean,delta_F_ci_lower,delta_F_ci_upper,p_value,q_value,significant,attribution_pct,attribution_pct_ci_lower,attribution_pct_ci_upper,is_recovery,recovery_rate,recovery_rate_ci_lower,recovery_rate_ci_upper
0,H(0),8.494986e-03,1.643926e-04,2.099088e-02,1.000000e-01,1.000000e-01,0,4.9040,0.0866,12.9318,0,0.0000,0.0000,0.0000
1,"CNOT(0,1)",4.289519e-02,9.621729e-03,8.447848e-02,2.000000e-02,2.666667e-02,1,24.7626,6.4711,43.3069,0,0.0000,0.0000,0.0000
2,"CNOT(1,2)",6.884908e-02,2.735253e-02,1.186884e-01,6.000000e-03,2.400000e-02,1,39.7452,20.8569,59.8737,0,0.0000,0.0000,0.0000
3,"CNOT(2,3)",5.298669e-02,1.962749e-02,9.438654e-02,1.200000e-02,2.400000e-02,1,30.5882,13.4131,48.4582,0,0.0000,0.0000,0.0000
